年月,地區,卡數,總交易筆數,總交易金額[新臺幣],跨境交易筆數,跨境交易金額[新臺幣]
201401,63000000,2735676,12099574,37059564830,406765,2734792473
201401,65000000,3232465,13200201,33275288842,293004,1483194038
201401,68000000,1374938,5650745,14297048587,108200,544769897
201401,10004000,345991,1517417,3771871141,31941,155418662
201401,10018000,366166,1617666,4081724925,37919,190151327
201401,10005000,241489,973340,2264287238,12965,60868925
201401,66000000,1811347,7527254,19563918114,131877,747976470
201401,10007000,521104,2045658,5040396656,26656,210752827
201401,10008000,177607,703984,1621782711,8090,43053709
201401,10009000,206985,796614,1836544115,8462,42938124
201401,10010000,160119,610123,1372144628,6205,37625086
201401,10020000,158645,618541,1503115014,8685,40156339
201401,67000000,1012683,4028279,9491612176,64272,318181375
201401,64000000,1721597,6700375,16320825971,104011,525100883
201401,10013000,293801,1138821,2675245217,12598,62937050
201401,10017000,241213,942118,2265105458,15415,97365814
201401,10002000,174782,714507,1705816726,10546,46490760
201401,10015000,127458,528952,1255212011,6381,26883745
201401,10014000,67807,272083,633654609,2877,11833231
201401,10016000,29755,110010,258132306,1297,5246631
201401,09020000,21626,82880,247530406,1039,5070885
201401,09007000,3297,12976,32615421,143,681319
201402,63000000,2604869,10366112,29622116237,322816,2212733165
201402,65000000,3082099,11356697,27348630225,239051,1293549474
201402,68000000,1307207,4856997,11707156453,87764,566318923
201402,10004000,331955,1316041,3079723993,24556,145391819
201402,10018000,351643,1403119,3308311625,29125,163609790
201402,10005000,230513,839267,1853281712,11029,48706688
201402,66000000,1722227,6411117,16182661129,104740,614143515
201402,10007000,495613,1760081,4174506746,21848,155454105
201402,10008000,167204,588479,1326554370,6423,28932083
201402,10009000,196419,687255,1543745949,7069,35501363
201402,10010000,150982,520794,1130882344,5228,27382823
201402,10020000,148354,520855,1202493738,6803,32075028
201402,67000000,964248,3483600,7899817214,53661,270446849
201402,64000000,1635605,5771149,13364265375,87263,467964783
201402,10013000,280485,986191,2240895351,10371,52949179
201402,10017000,229540,813048,1842401862,12929,62006798
201402,10002000,164952,604499,1412121863,8908,41907502
201402,10015000,120077,444272,1036074959,5553,27108201
201402,10014000,63697,229422,498331474,2158,9319816
201402,10016000,28669,97122,237740681,861,3883057
201402,09020000,20697,74280,217801602,828,4300277
201402,09007000,3294,12187,29649686,80,451412
201403,63000000,2690361,11562839,32523186857,387445,2568866291
201403,65000000,3188277,12656708,29281534187,298273,1576649813
201403,68000000,1353183,5389679,12512237955,110228,557470236
201403,10004000,344166,1466981,3417165199,30067,176723420
201403,10018000,363894,1557395,3581677414,35256,193068550
201403,10005000,239791,941785,2003862557,13669,60630329
201403,66000000,1786762,7195592,17523779895,133909,744655660
201403,10007000,514851,1966125,4488861083,28107,149014716
201403,10008000,175102,671822,1452026081,8894,42086521
201403,10009000,203408,765434,1646692152,8962,44638516
201403,10010000,157469,587418,1224456770,6720,40742806
201403,10020000,153382,578519,1321758526,8659,42722798
